Category,p-value,t-statistic,Effect Size (Cohenâ€™s d),Better Performing Language
astronomy/test,,,,zh_cn
business_ethics/test,0.08253070634696223,1.8605210188381267,0.5345224838248488,en
college_biology/test,,,,zh_cn
college_chemistry/test,,,,zh_cn
college_mathematics/test,,,,zh_cn
college_medicine/test,,,0.0,zh_cn
electrical_engineering/test,,,,zh_cn
elementary_mathematics/test,,,,zh_cn
global_facts/test,1.0,0.0,0.0,zh_cn
high_school_chemistry/test,0.49999999999999956,1.0,1.4142135623730954,en
high_school_computer_science/test,,,,zh_cn
high_school_european_history/test,,,,zh_cn
high_school_geography/test,0.03881409182311223,2.3452078799117153,0.7559289460184536,en
high_school_government_and_politics/test,,,,zh_cn
high_school_macroeconomics/test,,,,zh_cn
high_school_mathematics/test,,,,zh_cn
high_school_microeconomics/test,0.49999999999999956,1.0,1.4142135623730954,en
high_school_physics/test,,,,zh_cn
high_school_psychology/test,,,0.0,zh_cn
high_school_statistics/test,,,,zh_cn
high_school_us_history/test,,,,zh_cn
high_school_world_history/test,0.6783097418055798,0.42857142857142855,0.2324952774876382,en
human_aging/test,0.3331701359154763,1.0,0.1727736851162716,en
human_sexuality/test,0.16785065605707486,1.5,0.7071067811865479,en
international_law/test,0.16785065605707486,1.5,0.516397779494322,en
jurisprudence/test,,,,zh_cn
logical_fallacies/test,,,0.0,zh_cn
management/test,0.16387561365565362,-1.4638501094227998,-0.5345224838248493,zh_cn
marketing/test,,,0.0,zh_cn
miscellaneous/test,0.10309037566454274,1.6672315426926017,0.328797974610714,en
moral_disputes/test,0.34343639613791355,1.0,0.2324952774876382,en
nutrition/test,1.0,0.0,0.0,zh_cn
philosophy/test,0.3388006961962017,1.0000000000000002,0.2540002540003817,en
prehistory/test,0.34343639613791355,1.0,0.47140452079103207,en
professional_accounting/test,0.04096895595583616,2.23606797749979,0.6761234037828133,en
professional_law/test,0.34659350708733416,1.0,0.4588314677411233,en
professional_medicine/test,,,,zh_cn
professional_psychology/test,0.16608681351829557,1.4832396974191326,0.39223227027636715,en
public_relations/test,,,0.0,zh_cn
security_studies/test,0.34343639613791355,-0.9999999999999999,-0.2828427124746192,zh_cn
sociology/test,0.3388006961962017,1.0000000000000002,0.25400025400038173,en
us_foreign_policy/test,0.34343639613791355,0.9999999999999999,0.2828427124746192,en
virology/test,0.17047066078705375,1.5275252316519468,0.5163977794943223,en
